Country,Artist,Listeners,Code
Afghanistan,Kanye West,5605198,AFG
Albania,Coldplay,6477969,ALB
Algeria,Cheb Mami,68261,DZA
Andorra,Coldplay,6477969,AND
Angola,Coldplay,6477969,AGO
Anguilla,Phoebe Bridgers,867420,AIA
Argentina,Divididos,92939,ARG
Armenia,Coldplay,6477969,ARM
Aruba,Galantis,922745,ABW
Australia,Coldplay,6477969,AUS
Austria,Coldplay,6477969,AUT
Azerbaijan,Coldplay,6477969,AZE
Bahrain,Coldplay,6477969,BHR
Bangladesh,Arnob,7756,BGD
Barbados,Keyshia Cole,865370,BRB
Belarus,Coldplay,6477969,BLR
Belgium,Coldplay,6477969,BEL
Belize,Ricky Martin,988406,BLZ
Benin,James Arthur,953611,BEN
Bermuda,Coldplay,6477969,BMU
Bhutan,FKA twigs,932052,BTN
Bolivia,Coldplay,6477969,BOL
Bosnia and Herzegovina,Coldplay,6477969,BIH
Botswana,George Ezra,915893,BWA
Brazil,Caetano Veloso,696413,BRA
Bulgaria,Coldplay,6477969,BGR
Burundi,Radiohead,5596702,BDI
Cambodia,Jon Hopkins,762887,KHM
Cameroon,Keyshia Cole,865370,CMR
Canada,Coldplay,6477969,CAN
Cayman Islands,Talk Talk,829829,CYM
Chad,CHVRCHES,986838,TCD
Chile,Gepe,85381,CHL
China,陳奕迅,75887,CHN
Colombia,J Balvin,876139,COL
Costa Rica,Coldplay,6477969,CRI
Croatia,Coldplay,6477969,HRV
Cuba,Los Van Van,89109,CUB
Cyprus,Coldplay,6477969,CYP
Czech Republic,Coldplay,6477969,CZE
Denmark,MØ,802867,DNK
Djibouti,Texas,691085,DJI
Dominica,CHVRCHES,986838,DMA
Ecuador,Coldplay,6477969,ECU
Egypt,Fairuz,94650,EGY
El Salvador,J Balvin,876139,SLV
Estonia,Coldplay,6477969,EST
Ethiopia,Coldplay,6477969,ETH
Fiji,Lizzo,953325,FJI
Finland,CMX,97454,FIN
France,Coldplay,6477969,FRA
Gabon,Ólafur Arnalds,984061,GAB
Georgia,Archive,728220,GEO
Germany,Robin Schulz,805999,DEU
Ghana,Davido,90832,GHA
Gibraltar,Coldplay,6477969,GIB
Greece,Coldplay,6477969,GRC
Greenland,Don McLean,994527,GRL
Grenada,Tycho,923753,GRD
Guam,Coldplay,6477969,GUM
Guatemala,Coldplay,6477969,GTM
Guernsey,Coldplay,6477969,GGY
Haiti,Zara Larsson,941622,HTI
Honduras,J Balvin,876139,HND
Hong Kong,陳奕迅,75887,HKG
Hungary,Coldplay,6477969,HUN
Iceland,Coldplay,6477969,ISL
India,Arijit Singh,79270,IND
Indonesia,Coldplay,6477969,IDN
Iraq,Coldplay,6476470,IRQ
Ireland,Coldplay,6477969,IRL
Israel,Coldplay,6477969,ISR
Italy,Coldplay,6477969,ITA
Jamaica,Alessia Cara,925192,JAM
Japan,Mr.Children,98551,JPN
Jersey,Coldplay,6477969,JEY
Jordan,Fairuz,94650,JOR
Kazakhstan,Coldplay,6477969,KAZ
Kenya,Coldplay,6477969,KEN
Kuwait,Coldplay,6477969,KWT
Kyrgyzstan,Radiohead,5596702,KGZ
Latvia,Coldplay,6477969,LVA
Lebanon,Ólafur Arnalds,984061,LBN
Lithuania,Coldplay,6477969,LTU
Luxembourg,Coldplay,6477969,LUX
Madagascar,Coldplay,6477969,MDG
Malaysia,Coldplay,6477969,MYS
Maldives,Coldplay,6477969,MDV
Mali,Machine Gun Kelly,998734,MLI
Mauritius,Fifth Harmony,900726,MUS
Mexico,Coldplay,6477969,MEX
Monaco,The Civil Wars,746566,MCO
Mongolia,Trentemøller,708322,MNG
Montenegro,Coldplay,6477969,MNE
Morocco,Coldplay,6477969,MAR
Namibia,Lauv,944667,NAM
Nepal,Coldplay,6477969,NPL
Netherlands,Coldplay,6477969,NLD
New Zealand,Coldplay,6477969,NZL
Nigeria,Tiwa Savage,98300,NGA
Norway,Aurora,863878,NOR
Oman,Coldplay,6477969,OMN
Pakistan,Atif Aslam,83733,PAK
Panama,J Balvin,876139,PAN
Peru,J Balvin,876139,PER
Philippines,Coldplay,6477969,PHL
Poland,Taco Hemingway,82927,POL
Portugal,Coldplay,6477969,PRT
Puerto Rico,Bad Bunny,741075,PRI
Qatar,Coldplay,6477969,QAT
Russian Federation,Coldplay,6477969,RUS
Saudi Arabia,Coldplay,6477969,SAU
Serbia,Coldplay,6477969,SRB
Seychelles,Coldplay,6477969,SYC
Singapore,Coldplay,6477969,SGP
Slovakia,Coldplay,6477969,SVK
South Africa,Coldplay,6477969,ZAF
Spain,Coldplay,6477969,ESP
Sri Lanka,Coldplay,6477969,LKA
Swaziland,Zara Larsson,941622,SWZ
Sweden,Zara Larsson,941622,SWE
Switzerland,Coldplay,6477969,CHE
Taiwan,Alan Walker,862117,TWN
Tajikistan,Pink,821322,TJK
Thailand,Coldplay,6477969,THA
Togo,BROCKHAMPTON,935768,TGO
Tunisia,Coldplay,6477969,TUN
Turkey,Cem Karaca,95963,TUR
Turkmenistan,Parov Stelar,992703,TKM
Uganda,Coldplay,6477969,UGA
Ukraine,Coldplay,6477969,UKR
United Arab Emirates,Coldplay,6477969,ARE
United Kingdom,Coldplay,6477969,GBR
United States,Coldplay,6477969,USA
Uruguay,Coldplay,6477969,URY
Uzbekistan,Coldplay,6477969,UZB
Vanuatu,Ash,719403,VUT
Venezuela,Coldplay,6477969,VEN
Yemen,CHVRCHES,986838,YEM
Zambia,Coldplay,6477969,ZMB
Zimbabwe,Coldplay,6477969,ZWE
